Kuipers, Eelco|2317|1002937||0
Van Delft, Merijn|2363|1004670||0
Van Foreest, Machteld|2309|1051563||1
Achuthan, Dylan|2081|1057847||1
Slagboom, Leandro|2177|1065882||1
Draghici Flutur, Gavril|2004|1206508||1
Nurgaliyev, Sauat|2150|13726285||1
Assylov, Miras|2044|13728873||1
Nurmanova, Alua|2191|13729390||0
Hushpit, Yaroslav|2176|14105462||0
Chernikov, Vladimir|2211|14112914|Comunidad Valenciana|0
Sattarov, Bobir|2389|14203081||1
Saydaliev, Saidakbar|2419|14203693||1
Christiansen, Johan-Sebastian|2578|1512668||1
Panjer, Sidney|2100|16207041||0
Kocak, Ediz|2115|16219481||0
Goossens, Hanne|2204|200468||1
Cherniack, Alex|2188|2007606||1
Docx, Stefan|2448|200778||1
Sarkar, Justin|2343|2010011||1
Garcia Callejo, Jesus|2138|2200724||0
Palomo Teruel, Xavier|2038|2202999||1
Ibanez Aullana, Ramon|2270|2207532|Comunidad Valenciana|1
Cabezas Ayala, Ivan|2259|2207710||1
Unciti Juan, Javier|1999|2216027||0
Rodriguez Garcia, Manuel Francis|2135|2218178||1
Minana Menor, Antonio|2102|2218640|Comunidad Valenciana|1
Horcajada Reales, Guillermo|2084|2221470||1
Perez Ruiz, Santiago|1966|22228225||1
O`Neill Y Daneiko, Jose Antonio|1952|2237733|Comunidad Valenciana|1
Parramon Ros, Francesc|2003|2252643||1
Clemente Llamero, Roberto|1953|2257696||1
Perez Candelario, Matias|2009|2260034||1
Cruz Lledo, Pablo|2404|2297361||0
Mannion, Stephen R|2229|2400111||1
Minnican, Alan|2049|2400987||1
Fernandez Garcia, Gumersindo|2172|24516740||1
Sanroman Costas, Mauro|2123|24595349||1
Ram Aravind L N|2272|25033760||1
Ojas Kulkarni|2196|25040073||1
Rakshitta Ravi|2242|25073230||1
Sarveshwaran V|2040|25699016||1
Levi, Netanel|2179|2815400||1
Gil Lopez, Alejandro|2041|32065795|Comunidad Valenciana|1
Escartin Lacasa, Jose|2284|32080042||1
Ajay Karthikeyan|2430|35011685||1
Vignesh B|2032|35051555||1
Hiren K G|1965|35053400||1
Fernandez Guillen, Ernesto J.|2462|3512428||1
Rodriguez Melendez, Juan Humbert|2149|3812448||1
Plaskett, H James|2365|400238|Comunidad Valenciana|1
Roe, Simon J|2146|401471||1
Grabuzova, Tatiana|2228|4108752|Comunidad Valenciana|0
Ilamparthi A R|2336|45015775||1
Nawin J J|2351|45031231||1
Gugan G|2126|45092931||1
Harshad S|2202|46616551||1
Arjun C Krishnamachari|2241|46653252||1
Nandhidhaa, P V|2358|5050847||0
Priyanka, K|2146|5082986||1
Rajarishi Karthi|2239|5092523||1
Ilinca Ilinca, Felix Antonio|2233|54764998|Comunidad Valenciana|0
Lohia, Sohum|2096|5819369||0
Troffiguer, Olivier|2016|607835||1
Sanchez Manzanares, Jorge Luis|2095|6600280||1
Gavarrete, Nahun|2325|8400709|Comunidad Valenciana|1
