Ionita, Emilian-Paul|1919|1214381||1
Muratova, Anel|1669|13707205||1
Hushpit, Lukian|1717|14189208||0
Grindbakken, Erik|1606|1526170||1
Williams, Duncan|1838|1805592||1
Vander Voort, Patrick|1488|205230||1
Cluyts, Marc|1923|205257||1
Prieto, Alberto|1886|2083426||1
Engelaer, Maurice|1790|209708||0
Lopez de Turiso, Jose Angel|1909|2207680||0
Garcia Bueno, Juan Pablo|1788|2213079||1
Rios Garcia, Miguel|1829|2219000|Comunidad Valenciana|1
Saez Gabikagogeaskoa, Oscar|1960|2219387||1
Diez Viera, Oscar|1858|22201882||1
Rodriguez Gomez, Vicente|1854|22202668||1
Izquierdo Arruferia, Joseba|1887|22202722||1
Martin Martin, Luis Vicente|1886|2220300||1
Arribas Lopez, Sara|1602|22205748||1
Gomez Real, Maria Del Pilar|1185|22207600|Comunidad Valenciana|1
Jimenez Mahillo, David|1304|22208151||1
Munoz Gonzalez, Martin|1352|22209115||1
Albuixech Sanz, Jorge|1690|22218149||1
Ruiz Ureta, Ernesto|1929|22229833||1
Selva Salvador, Antonio|1954|2223821|Comunidad Valenciana|1
Hassomal Daswani, Birjkumar|1715|2224356|Comunidad Valenciana|1
Urena Casacuberta, Lluis|1917|22244026||1
Lopez Heras, Arturo|1715|2225433||1
Riera Mestres, Josep|1484|22256709||1
Gomez Fernandez, Fulgencio|1727|22273700||1
Galletero Monsalve, Juan Francis|1077|22281398|Comunidad Valenciana|1
Bergara Ede, Josu|1713|22287965||1
Pajuelo Morales, Raul|1890|2231050||1
Valenzuela Garcia, Alberto|1503|2245213|Comunidad Valenciana|1
Martinez Torres, Jose Manuel|1496|2246660|Comunidad Valenciana|1
Such Palacios, Jose Miguel|1465|2251485|Comunidad Valenciana|1
Conde Negro, Francisco Javier|1479|2261790||1
De Luna Butz, Alberto|1685|2269007||1
Vicente Soriano, Josep|1713|2270978||0
Gerona Maura, Jesus|1690|2271303|Comunidad Valenciana|1
Vegara Gallego, Pere|1573|2271770||1
Pedraza Fernandez, Miguel Angel|1785|2275376|Comunidad Valenciana|0
Ballina Amandi, Casimiro|1748|2278723||1
Medina Sanchez, Gines|1556|2279100||1
Espejo Montagut, Jose Maria|1678|2281619||1
Minguela Munoz, Bienvenido|1683|2282143||1
Fuster Aguilo, Joan|1772|2286548||1
Rincon Martin, Santiago|1454|2286890||1
Izagirre Alsua, Aritz|1835|2294001||1
Aird, Ian|1698|2401347||1
Izquierdo Carbellido, Pablo|1900|24510297|Comunidad Valenciana|1
Rico Garcia, Carlos|1649|24515132|Comunidad Valenciana|0
Genis Traveria, Ferran|1293|24519707||1
Morata Perez, Jose|1371|24521612||1
Albuixech Soler, Sergi|1437|24522678|Comunidad Valenciana|1
Garcia Diaz, Jose|1443|24538329||1
Ulla Centelles, Llorens|1205|24541087|Comunidad Valenciana|1
Verhoeven, Rudiger|1454|24563013||1
Gukasov, Artem|1788|24580112|Comunidad Valenciana|1
Camison Zornoza, Cesar|1874|24580376|Comunidad Valenciana|1
Hellmann, Thomas|1771|24647640||0
Leelajai Krishna N|1491|25130536||1
Henning Lubberding, Hans|0|2518066||1
Mallevaey, Guillaume|1761|26026120||1
Mateeva, Yana|1329|2935600||0
Mateev, Kaloyan Mateev|1735|2936690||1
Goktepe, Derin|1895|30951747||1
Place, Nicholas|1967|30969603||1
Milner, Romi|1469|30997690||1
Garcia Lorenzo, Jaime|1210|32000138||1
Martinez Dourado, Daniel|1837|32000669||1
Lopez Palomar, Jose|1913|32010176|Comunidad Valenciana|1
Mena Lena, Antonio|1226|32010583||1
Mabras Lloret, Monserrat|1202|32018347|Comunidad Valenciana|1
Roca Cruz, Rafael|1894|32022450|Comunidad Valenciana|1
Sanabria Taskila, Jenny Maria|1852|32066139||1
Contreras Valle, Juan Carlos|1629|32072317||1
Ojassvini Thiagarajan|0|33381291||1
Tsiapko, Andrii|1633|34105298||1
Dumanskyi, Matvii|0|34159177||0
Voronaya, Eva|1379|34254978||1
Aadith R|1714|35050362||1
Mallevaey, Armand|1780|36041424||1
Palao, Adriana|1978|3805204|Comunidad Valenciana|1
Millward, Kevin P|1911|404721||1
Spanton, Tim R|1895|404802||1
Dawson, Alastair|1842|412651||0
Stokes, Paul C|1791|419010||1
Kane, Robert|1773|420468||1
Skielnik, Joseph J|1797|423807||1
Rumsey, Victor B|1758|432873||1
Swapna C N|1481|45050449||1
Sai Hrushikesh Simhdri|1460|45058105||1
Ingham, H William|1833|451096||1
Sudharsan Gurukrishnan|1586|46614753||1
Suriya S V|1455|46681604||1
Kearsley, Raymond J|1548|470562||1
Nieto Foresti, Julian|1709|54509971||1
Casadevall Mainau, Iraida|1212|54543142||1
Ledesma Ledesma, Jose Ignacio|1049|54546281||1
Falcon Ibanez, Alicia|0|54593123||1
Prieto Matias, Manuel|1560|54596270||1
Prieto Rol, Esther|1299|54596289||1
Quintana Ruiz, David|1460|54599083||0
Sanchez-Laulhe Garcia-Mercadal,|0|54599091|Comunidad Valenciana|1
Ortega Moya, Juan Francisco|1290|54718210|Comunidad Valenciana|1
Embuena Molina, Miguel Angel|0|54745128|Comunidad Valenciana|1
Rodriguez Dogmoch, Kyran|1437|54758017||1
Pesochinskiy, Stepan|1508|54767997||0
Perez Solanas, Hugo|1424|54783526||0
Nechifor, David|1613|54788455|Comunidad Valenciana|0
Deiana, Giacomo|1498|843750||1
Nwachukwu, Chino|1885|8500770||1
Saber, Anas|1920|9000810||1
